Bulan,Konsumen,Kode Produk,Nama Produk,Jumlah,Satuan,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,210,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",RAM001,CALORTUSIN KAPLET 100's,200,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",RAM011,TERA F KAPLET 100's,100,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,100,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",TRMG003,PREDNISON 5 MG TABLET 100'S,200,BOX,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),500,POT,
JANUARI 2020,"PEMBANGUNAN FARMA, APT",TRMG016,PARACETAMOL 500 MG KAPLET 100'S,200,BOX,
JANUARI 2020,"JAKARTA, APTK",ERT001,ETABION KAPSUL 100'S,100,BOX,
JANUARI 2020,"JAKARTA, APTK",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,150,BTL,
JANUARI 2020,"JAKARTA, APTK",ERT028,ETAFEN SYRUP 60 ML,150,BTL,
JANUARI 2020,"JAKARTA, APTK",NPH026,NOVAMOX 500 MG KAPLET 100's,100,BOX,
JANUARI 2020,"JAKARTA, APTK",NPH037,VADROL 4 MG TABLET 100'S,30,BOX,
JANUARI 2020,"JAKARTA, APTK",NPH069,PARAFEN KAPLET 100's,100,BOX,
JANUARI 2020,"JAKARTA, APTK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,50,BOX,
JANUARI 2020,"JAKARTA, APTK",RAM030,ERYRA FORTE TABLET 100's,50,BOX,
JANUARI 2020,"JAKARTA, APTK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,50,BOX,
JANUARI 2020,"JAKARTA, APTK",TRM004,TRIMAKAL KAPLET 100'S,100,BOX,
JANUARI 2020,"JAKARTA, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,500,BOX,
JANUARI 2020,"JAKARTA, APTK",YKT010,"FLACOID 0,5 MG KAPLET 100'S",100,BOX,
JANUARI 2020,"JAKARTA, APTK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,300,BOX,
JANUARI 2020,"MADINA, APTK",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,60,BOX,
JANUARI 2020,"MADINA, APTK",ERT001,ETABION KAPSUL 100'S,100,BOX,
JANUARI 2020,"MADINA, APTK",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,300,BTL,
JANUARI 2020,"MADINA, APTK",IFR013,ELTAZON KAPLET 100'S/BLISTER,50,BOX,
JANUARI 2020,"MADINA, APTK",IFR040,ROVERTON KAPLET 100'S,40,BOX,
JANUARI 2020,"MADINA, APTK",IFR048,TRIANTA SYRUP 60 ML,288,BTL,
JANUARI 2020,"MADINA, APTK",IFR082,YUSIMOX KAPLET 500 MG 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",NPG017,KETOKONAZOLE 200 MG TABLET 50'S,144,BOX,
JANUARI 2020,"MADINA, APTK",NPG024,PIROXICAM 20 MG TABLET 100's,30,BOX,
JANUARI 2020,"MADINA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,60,BOX,
JANUARI 2020,"MADINA, APTK",NPG052,PIROXICAM 10 MG TABLET 100'S,30,BOX,
JANUARI 2020,"MADINA, APTK",NPH003,NOVABIOTIC 500 MG KAPLET 100's,50,BOX,
JANUARI 2020,"MADINA, APTK",NPH008,NOVAKAL 500 MG KAPLET 100's,30,BOX,
JANUARI 2020,"MADINA, APTK",NPH010,NOVAMOX SYRUP 60 ML,360,BTL,
JANUARI 2020,"MADINA, APTK",NPH012,NOVATRIM SYRUP 60 ML,180,BTL,
JANUARI 2020,"MADINA, APTK",NPH015,NOVAFLOX 500 MG KAPLET 100's,120,BOX,
JANUARI 2020,"MADINA, APTK",NPH018,NOVATRIM TABLET 100's,30,BOX,
JANUARI 2020,"MADINA, APTK",NPH026,NOVAMOX 500 MG KAPLET 100's,60,BOX,
JANUARI 2020,"MADINA, APTK",NPH032,NOVAXIFEN 100 MG SYRUP 60 ML (Strawberry),180,BTL,
JANUARI 2020,"MADINA, APTK",NPH041,NOVACYCLINE 250 MG KAPSUL 500's,10,BOX,
JANUARI 2020,"MADINA, APTK",NPH060,"NOVADEX 0,5 MG TABLET 100'S (POT)",200,POT,
JANUARI 2020,"MADINA, APTK",NPH083,GRICIN 125 MG TABLET 100's,60,BOX,
JANUARI 2020,"MADINA, APTK",NPH085,"NOVAGRIP KAPLET (Paracetamol, Dextromethorphan HBr, Ctm) 100'S",30,BOX,
JANUARI 2020,"MADINA, APTK",NPH089,FERBION(Vitamin dan Mineral)Kapsul 100'S,30,BOX,
JANUARI 2020,"MADINA, APTK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,20,BOX,
JANUARI 2020,"MADINA, APTK",RAM001,CALORTUSIN KAPLET 100's,50,BOX,
JANUARI 2020,"MADINA, APTK",SMC001,SAMCOBION KAPSUL 100's,40,BOX,
JANUARI 2020,"MADINA, APTK",SMC018,SAMTACID TABLET 100'S,110,BOX,
JANUARI 2020,"MADINA, APTK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,360,BTL,
JANUARI 2020,"MADINA, APTK",SOL007,XICALOM 20 MG KAPLET 100's,30,BOX,
JANUARI 2020,"MADINA, APTK",TRM004,TRIMAKAL KAPLET 100'S,30,BOX,
JANUARI 2020,"MADINA, APTK",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",TRMG001,ANTASIDA DOEN TABLET 100'S (POT),100,POT,
JANUARI 2020,"MADINA, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),50,POT,
JANUARI 2020,"MADINA, APTK",YKT003,TRIADENE 20 MG TABLET 100's,30,BOX,
JANUARI 2020,"MADINA, APTK",YKT011,YATRIZOL FORTE KAPLET 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",YKT027,CYROX KAPLET 100'S,50,BOX,
JANUARI 2020,"MADINA, APTK",YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML",100,BTL,
JANUARI 2020,"MADINA, APTK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,30,BOX,
JANUARI 2020,"MADINA, APTK",ZNT042,ZETAMOL SYRUP 60 ML,144,BTL,
FEBRUARI 2020,"BASARIA JAYA MANDIRI, PT",AFI014,"OBH AFI (Am. Chloride, Succus Liq., Alkohol) SYRUP (Rasa Mint) 100 ML",125,BTL,
FEBRUARI 2020,"BASARIA JAYA MANDIRI, PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,25,BOX,
FEBRUARI 2020,"BASARIA JAYA MANDIRI, PT",NPG011,METRONIDAZOLE 500 MG TABLET 100's,75,BOX,
FEBRUARI 2020,"BASARIA JAYA MANDIRI, PT",NPG032,GUAIFENESIN TABLET  100'S,150,BOX,
FEBRUARI 2020,"BASARIA JAYA MANDIRI, PT",NPG040,AMBROXOL 30 MG TABLET 100'S,100,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",DEF009,VITAMIN B COMPLEX TABLET 100'S,50,POT,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",ERT004,"ETADEX 0,5 MG KAPLET  200'S",20,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",ERT028,ETAFEN SYRUP 60 ML,100,BTL,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",IFR013,ELTAZON KAPLET 100'S/BLISTER,30,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",IFR040,ROVERTON KAPLET 100'S,20,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",IFR082,YUSIMOX KAPLET 500 MG 100'S,5,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",NPH009,NOVAMAG TABLET 100's,50,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",NPH068,CEFFORD 125 DS 60 ML,180,BTL,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,30,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,130,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,20,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",TRMG010,PREDNISON TABLET 5 MG 100'S (POT),100,POT,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),150,POT,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",YKT009,YEKAPONS 500 MG KAPLET 100'S,30,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",YKT034,LOPURIC (Allupurinol 100 mg) TABLET 100'S,30,BOX,
FEBRUARI 2020,"ARMIA FARMA, APOTIK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,30,BOX,
FEBRUARI 2020,"BERSATU, APTK",ERG007,PARACETAMOL 500 MG KAPLET 100'S,200,BOX,
FEBRUARI 2020,"BERSATU, APTK",ERG017,AMLODIPINE 5 MG TABLET 30'S,500,BOX,
FEBRUARI 2020,"BERSATU, APTK",ERT009,ETADRYL EXPECTORANT SYRUP 60 ML,150,BTL,
FEBRUARI 2020,"BERSATU, APTK",ERT010,ETAFEN 400 MG TABLET 100'S,50,BOX,
FEBRUARI 2020,"BERSATU, APTK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,15,BOX,
FEBRUARI 2020,"BERSATU, APTK",MLX008,"MOLEXFLU SYRUP 60 ml ( Paracetamol,Phenylpropanolamine HCI,Chlorphenamine Maleate",60,BTL,
FEBRUARI 2020,"BERSATU, APTK",MLX014,"KLORFESON CREAM 10 gram (chloramphenicol,prednisolone)",96.,UBE,
FEBRUARI 2020,"BERSATU, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,200,BOX,
FEBRUARI 2020,"BERSATU, APTK",NPG049,SIMVASTATIN 10 MG TABLET 100'S,100,BOX,
FEBRUARI 2020,"BERSATU, APTK",NPH008,NOVAKAL 500 MG KAPLET 100's,20,BOX,
FEBRUARI 2020,"BERSATU, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,120,BTL,
FEBRUARI 2020,"BERSATU, APTK",RAM046,AFOLAT 400 MG TABLET 100S,20,BOX,
FEBRUARI 2020,"BERSATU, APTK",SOL011,KAMOLAS (Paracetamol 500 mg) Kaplet 100's,20,BOX,
FEBRUARI 2020,"BERSATU, APTK",SPD003,"CARBIDU 0,5 MG TABLET 200'S",50,BOX,
FEBRUARI 2020,"BERSATU, APTK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,10,BOX,
FEBRUARI 2020,"BERSATU, APTK",TRM005,"SUPERHOID (Benzocain, Zinc Oxide, Al. Hyroxide) @ 6 SUPP",20,BOX,
FEBRUARI 2020,"BERSATU, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,200,BOX,
FEBRUARI 2020,"BETHESDA BERKAT, APOTEK. PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,200,BOX,
FEBRUARI 2020,"BETHESDA BERKAT, APOTEK. PT",NPH027,"NOVADEX 0,5 MG TABLET 200's",144,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",ERT022,ETAMOXUL KAPLET 100'S,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",IFR048,TRIANTA SYRUP 60 ML,384,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPG033,PAPAVERIN TABLET 100's,50,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,272,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPG052,PIROXICAM 10 MG TABLET 100'S,272,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH003,NOVABIOTIC 500 MG KAPLET 100's,50,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH005,NOVADIAR SYRUP 60 ML,300,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH006,NOVAGESIC SYRUP 60 ML,600,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH015,NOVAFLOX 500 MG KAPLET 100's,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH034,NUVOPEC 15 MG SYRUP 60 ML,660,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,600,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",RAM001,CALORTUSIN KAPLET 100's,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",RAM052,BROXOLIC 15 MG SYRUP 60 ML,150,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",SMC018,SAMTACID TABLET 100'S,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,100,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",SOL002,ORPHEN 4 MG KAPLET 200'S,120,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",SPD014,CARSIDA TABLET 100'S,37,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",TRM003,"TRIDEXON 0,5 MG KAPLET 100'S (POT)","1,500",POT,
FEBRUARI 2020,"BINJAI FARMA, APTK",TRM004,TRIMAKAL KAPLET 100'S,50,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",TRM005,"SUPERHOID (Benzocain, Zinc Oxide, Al. Hyroxide) @ 6 SUPP",50,BOX,
FEBRUARI 2020,"BINJAI FARMA, APTK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),"1,000",POT,
FEBRUARI 2020,"BINJAI FARMA, APTK",YKT006,PACETIK SYRUP 60 ML,300,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",YKT030,PACETIK BP SYRUP 55 ML,150,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML",150,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",ZNT039,COLDREXIN SYRUP 60 ML,480,BTL,
FEBRUARI 2020,"BINJAI FARMA, APTK",ZNT042,ZETAMOL SYRUP 60 ML,240,BTL,
FEBRUARI 2020,"BINTANG TERANG, APTK",ERT004,"ETADEX 0,5 MG KAPLET  200'S",30,BOX,
FEBRUARI 2020,"BINTANG TERANG, APTK",ERT022,ETAMOXUL KAPLET 100'S,30,BOX,
FEBRUARI 2020,"BINTANG TERANG, APTK",IFR040,ROVERTON KAPLET 100'S,20,BOX,
FEBRUARI 2020,"BINTANG TERANG, APTK",NPH027,"NOVADEX 0,5 MG TABLET 200's",40,BOX,
FEBRUARI 2020,"BINTANG TERANG, APTK",TRM038,"TRIDEXON 0,75 MG KAPLET 100'S",30,BOX,
FEBRUARI 2020,"BINTANG TERANG, APTK",YKT010,"FLACOID 0,5 MG KAPLET 100'S",30,BOX,
FEBRUARI 2020,"BINTANG TIMUR, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,500,BOX,
FEBRUARI 2020,"BINTANG TIMUR, APTK",NPH009,NOVAMAG TABLET 100's,132,BOX,
FEBRUARI 2020,"BINTANG TIMUR, APTK",NPH089,FERBION(Vitamin dan Mineral)Kapsul 100'S,50,BOX,
FEBRUARI 2020,"BAGAN JAYA FARMA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,"1,360",BOX,
FEBRUARI 2020,"BAGAN JAYA FARMA, APT",NPG052,PIROXICAM 10 MG TABLET 100'S,408,BOX,
FEBRUARI 2020,"BAGAN JAYA FARMA, APT",RAG015,CLINDAMYCIN HCl 300 MG KAPSUL 100'S,35,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"1,000",BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",ERT001,ETABION KAPSUL 100'S,200,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPG011,METRONIDAZOLE 500 MG TABLET 100's,100,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPG032,GUAIFENESIN TABLET  100'S,136,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPG040,AMBROXOL 30 MG TABLET 100'S,544,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH004,NOVACHLOR SYRUP 60 ML,300,BTL,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH012,NOVATRIM SYRUP 60 ML,600,BTL,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH013,NOVAXICAM 20 MG KAPSUL 100's,100,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH015,NOVAFLOX 500 MG KAPLET 100's,100,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH029,NOVADIUM TABLET 100's,136,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH083,GRICIN 125 MG TABLET 100's,136,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,50,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",RAM005,ERYRA SYRUP 60 ML,100,BTL,
FEBRUARI 2020,"AK JAYA, APOTEK",RAM011,TERA F KAPLET 100's,100,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",SMC019,"SAMCODIN (Dextromethorpan HBr, GG, CTM) TABLET 100'S","1,000",BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",TRM019,"TRIMABION (Vit B1, B6, B12) TABLET 100'S",60,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,200,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",TRM032,"MEFFU EKSPEKTORAN (Paracetamol, CTM, Phenyephrine HCl, GG) KAPLET 100'S",100,BOX,
FEBRUARI 2020,"AK JAYA, APOTEK",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),"2,000",POT,
FEBRUARI 2020,"BINTANG, APTK",NPH004,NOVACHLOR SYRUP 60 ML,120,BTL,
FEBRUARI 2020,"BINTANG, APTK",NPH018,NOVATRIM TABLET 100's,100,BOX,
FEBRUARI 2020,"BINTANG, APTK",RAG011,ANTASIDA DOEN TABLET 100'S,100,BOX,
FEBRUARI 2020,"BINTANG, APTK",RAM003,DEXCLOSAN TABLET 100's,50,BOX,
MARET 2020,"KELAN ANGGINA, APT",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,50,BOX,
MARET 2020,"KELAN ANGGINA, APT",NPH006,NOVAGESIC SYRUP 60 ML,120,BTL,
MARET 2020,"KELAN ANGGINA, APT",NPH015,NOVAFLOX 500 MG KAPLET 100's,100,BOX,
MARET 2020,"KELAN ANGGINA, APT",NPH025,NOVACHLOR KAPSUL 100's,40,BOX,
MARET 2020,"KELAN ANGGINA, APT",NPH026,NOVAMOX 500 MG KAPLET 100's,40,BOX,
MARET 2020,"KELAN ANGGINA, APT",NPH034,NUVOPEC 15 MG SYRUP 60 ML,120,BTL,
MARET 2020,"KELAN ANGGINA, APT",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,20,BOX,
MARET 2020,"KELAN ANGGINA, APT",RAM004,DOLORSTAN FORTE KAPLET 100'S,50,BOX,
MARET 2020,"KELAN ANGGINA, APT",RAM024,BIOVITAN SYRUP 60 ML,50,BTL,
MARET 2020,"KELAN ANGGINA, APT",RAM030,ERYRA FORTE TABLET 100's,10,BOX,
MARET 2020,"KELAN ANGGINA, APT",RAM048,DOLORSTAN SUSPENSI 60 ML,100,BTL,
MARET 2020,"KELAN ANGGINA, APT",SMC018,SAMTACID TABLET 100'S,130,BOX,
MARET 2020,"KELAN ANGGINA, APT",SMC023,SAMCOFENAC (Diclofenac Sodium) 50 MG TABLET 100'S,100,BOX,
MARET 2020,"KELAN ANGGINA, APT",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,100,BOX,
MARET 2020,"KELAN ANGGINA, APT",TRM004,TRIMAKAL KAPLET 100'S,30,BOX,
MARET 2020,"KELAN ANGGINA, APT",TRM009,GLENALEN 10 MG TABLET 100'S,30,BOX,
MARET 2020,"KELAN ANGGINA, APT",TRM011,OVTELIS 20 MG TABLET 100'S,30,BOX,
MARET 2020,"KELAN ANGGINA, APT",TRM019,"TRIMABION (Vit B1, B6, B12) TABLET 100'S",20,BOX,
MARET 2020,"KELAN ANGGINA, APT",TRM023,"DEXDE (Dexamethason 0.5mg, dex-ctm 2mg) TABLET 100'S",50,BOX,
MARET 2020,"KELAN ANGGINA, APT",YKT015,YEKAPRIM TABLET 100'S,40,BOX,
MARET 2020,"KELAN ANGGINA, APT",YKT020,KATERGI TABLET 100's,20,BOX,
MARET 2020,"KELAN ANGGINA, APT",YKT022,YEKAPRIM SYRUP 60 ML,100,BTL,
MARET 2020,"KELAN ANGGINA, APT",YKT034,LOPURIC (Allupurinol 100 mg) TABLET 100'S,60,BOX,
MARET 2020,"KELAN ANGGINA, APT",YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML",100,BTL,
MARET 2020,"BUDI MURNI, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,500,BOX,
MARET 2020,"BUDI MURNI, APTK",ERT004,"ETADEX 0,5 MG KAPLET  200'S",50,BOX,
