No,Bulan,Konsumen,Kode Produk,Nama Produk,Stock Ready,Jumlah Barang,Jlh barang,Harga,Jumlah Harga,,,
16,2020-01,"MEDICA JAYA FARMA, APTK",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),"14,050",100 POT,100,"5,800","580,000",,,
17,2020-01,"MEDICA JAYA FARMA, APTK",YKT001,PACETIK 500 MG KAPLET 100's,235,100 BOX,100,"19,500","1,950,000",,,
18,2020-01,"TETAP SEMANGAT, APTK",NPG057,CETIRIZINE HYDROCHLORIDE 10 MG TABLET 100'S,"1,852",20 BOX,20,"7,500","150,000",,,
19,2020-01,"TETAP SEMANGAT, APTK",NPH006,NOVAGESIC SYRUP 60 ML,"4,848",60 BTL,60,"3,900","234,000",,,
20,2020-01,"TETAP SEMANGAT, APTK",RAG011,ANTASIDA DOEN TABLET 100'S,"4,216",30 BOX,30,"7,800","234,000",,,
21,2020-01,"TETAP SEMANGAT, APTK",RAM052,BROXOLIC 15 MG SYRUP 60 ML,800,50 BTL,50,"3,600","180,000",,,
22,2020-01,"TETAP SEMANGAT, APTK",YKT022,YEKAPRIM SYRUP 60 ML,800,100 BTL,100,"3,850","385,000",,,
23,2020-01,"MITRA MULTI MANUNGGAL, PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"3,150",400 BOX,400,"7,500","3,000,000",,,
24,2020-01,"MITRA MULTI MANUNGGAL, PT",NPH009,NOVAMAG TABLET 100's,810,132 BOX,132,"17,500","2,310,000",,,
25,2020-01,"MITRA MULTI MANUNGGAL, PT",NPH027,"NOVADEX 0,5 MG TABLET 200's",792,144 BOX,144,"16,500","2,376,000",,,
26,2020-01,"MITRA MULTI MANUNGGAL, PT",SOL002,ORPHEN 4 MG KAPLET 200'S,625,60 BOX,60,"14,000","840,000",,,
27,2020-01,"MARI SEHAT, APOTEK",NPG024,PIROXICAM 20 MG TABLET 100's,"1,080",136 BOX,136,"10,500","1,428,000",,,
28,2020-01,"MARI SEHAT, APOTEK",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,872",100 BOX,100,"8,500","850,000",,,
29,2020-01,"MARI SEHAT, APOTEK",TRMG003,PREDNISON 5 MG TABLET 100'S,862,50 BOX,50,"12,500","625,000",,,
30,2020-01,"RAIFAN FARMA, APTK",NPG018,IBUPROFEN 400 MG TABLET 100'S,"1,247",20 BOX,20,"19,500","390,000",,,
31,2020-01,"RAIFAN FARMA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,772",30 BOX,30,"8,500","255,000",,,
32,2020-01,"RAIFAN FARMA, APTK",NPH013,NOVAXICAM 20 MG KAPSUL 100's,"1,264",20 BOX,20,"19,500","390,000",,,
33,2020-01,"RAIFAN FARMA, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,"1,320",120 BTL,120,"3,900","468,000",,,
34,2020-01,"PEMBANGUNAN FARMA, APT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"2,750",500 BOX,500,"7,500","3,750,000",,,
35,2020-01,"PEMBANGUNAN FARMA, APT",ERG007,PARACETAMOL 500 MG KAPLET 100'S,"3,114",200 BOX,200,"15,500","3,100,000",,,
36,2020-01,"PEMBANGUNAN FARMA, APT",ERT001,ETABION KAPSUL 100'S,"2,230",200 BOX,200,"21,500","4,300,000",,,
37,2020-01,"PEMBANGUNAN FARMA, APT",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,868,30 BOX,30,"54,750","1,642,500",,,
38,2020-01,"PEMBANGUNAN FARMA, APT",ERT021,ETAMOX 500 MG KAPLET 100'S,868,50 BOX,50,"53,750","2,687,500",,,
39,2020-01,"PEMBANGUNAN FARMA, APT",NPG018,IBUPROFEN 400 MG TABLET 100'S,"1,227",396 BOX,396,"19,500","7,722,000",,,
40,2020-01,"PEMBANGUNAN FARMA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,742",544 BOX,544,"8,500","4,624,000",,,
41,2020-01,"PEMBANGUNAN FARMA, APT",NPG052,PIROXICAM 10 MG TABLET 100'S,"1,334",136 BOX,136,"7,800","1,060,000",,,
42,2020-01,"PEMBANGUNAN FARMA, APT",NPG054,MELOXICAM 15 MG TABLET 100'S,464,136 BOX,136,"21,000","2,856,000",,,
43,2020-01,"PEMBANGUNAN FARMA, APT",NPG055,"MELOXICAM 7,5 MG TABLET 100'S","1,436",136 BOX,136,"12,500","1,700,000",,,
44,2020-01,"PEMBANGUNAN FARMA, APT",NPH006,NOVAGESIC SYRUP 60 ML,"4,788",300 BTL,300,"3,900","1,170,000",,,
45,2020-01,"PEMBANGUNAN FARMA, APT",NPH055,NOVAGESIC KAPLET 100'S (POT),674,100 POT,100,"16,500","1,650,000",,,
46,2020-01,"PEMBANGUNAN FARMA, APT",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,975,210 BOX,210,"15,000","3,150,000",,,
47,2020-01,"PEMBANGUNAN FARMA, APT",RAM001,CALORTUSIN KAPLET 100's,"1,115",200 BOX,200,"41,000","8,200,000",,,
48,2020-01,"PEMBANGUNAN FARMA, APT",RAM011,TERA F KAPLET 100's,865,100 BOX,100,"40,000","4,000,000",,,
49,2020-01,"PEMBANGUNAN FARMA, APT",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,925,100 BOX,100,"46,000","4,600,000",,,
50,2020-01,"PEMBANGUNAN FARMA, APT",TRMG003,PREDNISON 5 MG TABLET 100'S,812,200 BOX,200,"12,500","2,500,000",,,
51,2020-01,"PEMBANGUNAN FARMA, APT",TRMG012,GUAIAFENESIN TABLET 100 MG 100'S (POT),"14,050",500 POT,500,"5,800","2,900,000",,,
52,2020-01,"PEMBANGUNAN FARMA, APT",TRMG016,PARACETAMOL 500 MG KAPLET 100'S,"2,914",200 BOX,200,"15,500","3,100,000",,,
53,2020-01,"JAKARTA, APTK",ERT001,ETABION KAPSUL 100'S,"2,030",100 BOX,100,"21,500","2,150,000",,,
54,2020-01,"JAKARTA, APTK",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,"2,245",150 BTL,150,"4,800","720,000",,,
55,2020-01,"JAKARTA, APTK",ERT028,ETAFEN SYRUP 60 ML,700,150 BTL,150,"4,400","660,000",,,
56,2020-01,"JAKARTA, APTK",NPH026,NOVAMOX 500 MG KAPLET 100's,348,100 BOX,100,"49,500","4,950,000",,,
57,2020-01,"JAKARTA, APTK",NPH037,VADROL 4 MG TABLET 100'S,414,30 BOX,30,"31,000","930,000",,,
58,2020-01,"JAKARTA, APTK",NPH069,PARAFEN KAPLET 100's,630,100 BOX,100,"22,500","2,250,000",,,
59,2020-01,"JAKARTA, APTK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,765,50 BOX,50,"15,000","750,000",,,
60,2020-01,"JAKARTA, APTK",RAM030,ERYRA FORTE TABLET 100's,320,50 BOX,50,"91,000","4,550,000",,,
61,2020-01,"JAKARTA, APTK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,730,50 BOX,50,"18,500","925,000",,,
62,2020-01,"JAKARTA, APTK",TRM004,TRIMAKAL KAPLET 100'S,480,100 BOX,100,"13,000","1,300,000",,,
63,2020-01,"JAKARTA, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,"4,186",500 BOX,500,"7,800","3,900,000",,,
64,2020-01,"JAKARTA, APTK",YKT010,"FLACOID 0,5 MG KAPLET 100'S",240,100 BOX,100,"7,750","775,000",,,
65,2020-01,"JAKARTA, APTK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,210,50 BOX,50,"6,850","342,500",,,
66,2020-01,"MADINA, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"15,090",300 BOX,300,"7,600","2,280,000",,,
67,2020-01,"MADINA, APTK",ERG020,MEFENAMIC ACID 500 MG KAPLET 100'S,"1,756",60 BOX,60,"20,000","1,200,000",,,
68,2020-01,"MADINA, APTK",ERT001,ETABION KAPSUL 100'S,"1,930",100 BOX,100,"21,500","2,150,000",,,
69,2020-01,"MADINA, APTK",ERT020,ETAMOX 125 MG SUSPENSI 60 ML,"2,095",300 BTL,300,"4,800","1,440,000",,,
70,2020-01,"MADINA, APTK",IFR013,ELTAZON KAPLET 100'S/BLISTER,216,50 BOX,50,"15,750","787,500",,,
71,2020-01,"MADINA, APTK",IFR040,ROVERTON KAPLET 100'S,230,40 BOX,40,"15,900","636,000",,,
72,2020-01,"MADINA, APTK",IFR048,TRIANTA SYRUP 60 ML,820,288 BTL,288,"5,450","1,569,600",,,
73,2020-01,"MADINA, APTK",IFR082,YUSIMOX KAPLET 500 MG 100'S,150,50 BOX,50,"52,000","2,600,000",,,
74,2020-01,"MADINA, APTK",NPG017,KETOKONAZOLE 200 MG TABLET 50'S,545,144 BOX,144,"23,000","3,312,000",,,
75,2020-01,"MADINA, APTK",NPG024,PIROXICAM 20 MG TABLET 100's,944,30 BOX,30,"10,500","315,000",,,
76,2020-01,"MADINA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,198",60 BOX,60,"8,500","510,000",,,
77,2020-01,"MADINA, APTK",NPG052,PIROXICAM 10 MG TABLET 100'S,"1,198",30 BOX,30,"7,800","234,000",,,
78,2020-01,"MADINA, APTK",NPH003,NOVABIOTIC 500 MG KAPLET 100's,280,50 BOX,50,"58,000","2,900,000",,,
79,2020-01,"MADINA, APTK",NPH008,NOVAKAL 500 MG KAPLET 100's,560,30 BOX,30,"12,500","375,000",,,
80,2020-01,"MADINA, APTK",NPH010,NOVAMOX SYRUP 60 ML,"5,645",360 BTL,360,"5,600","2,016,000",,,
81,2020-01,"MADINA, APTK",NPH012,NOVATRIM SYRUP 60 ML,"3,045",180 BTL,180,"4,100","738,000",,,
82,2020-01,"MADINA, APTK",NPH015,NOVAFLOX 500 MG KAPLET 100's,"2,474",120 BOX,120,"46,000","5,520,000",,,
83,2020-01,"MADINA, APTK",NPH018,NOVATRIM TABLET 100's,840,30 BOX,30,"23,000","690,000",,,
84,2020-01,"MADINA, APTK",NPH026,NOVAMOX 500 MG KAPLET 100's,248,60 BOX,60,"49,500","2,970,000",,,
85,2020-01,"MADINA, APTK",NPH032,NOVAXIFEN 100 MG SYRUP 60 ML (Strawberry),"1,868",180 BTL,180,"4,250","765,000",,,
86,2020-01,"MADINA, APTK",NPH041,NOVACYCLINE 250 MG KAPSUL 500's,50,10 BOX,10,"265,000","2,650,000",,,
87,2020-01,"MADINA, APTK",NPH060,"NOVADEX 0,5 MG TABLET 100'S (POT)","3,840",200 POT,200,"4,000","800,000",,,
88,2020-01,"MADINA, APTK",NPH083,GRICIN 125 MG TABLET 100's,540,60 BOX,60,"32,500","1,950,000",,,
89,2020-01,"MADINA, APTK",NPH085,"NOVAGRIP KAPLET (Paracetamol, Dextromethorphan HBr, Ctm) 100'S",140,30 BOX,30,"25,000","750,000",,,
90,2020-01,"MADINA, APTK",NPH089,FERBION(Vitamin dan Mineral)Kapsul 100'S,"2,435",30 BOX,30,"18,000","540,000",,,
91,2020-01,"MADINA, APTK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,715,20 BOX,20,"15,000","300,000",,,
92,2020-01,"MADINA, APTK",RAM001,CALORTUSIN KAPLET 100's,915,50 BOX,50,"41,000","2,050,000",,,
93,2020-01,"MADINA, APTK",SMC001,SAMCOBION KAPSUL 100's,"2,214",40 BOX,40,"17,750","710,000",,,
94,2020-01,"MADINA, APTK",SMC018,SAMTACID TABLET 100'S,"2,820",110 BOX,110,"20,650","2,271,500",,,
95,2020-01,"MADINA, APTK",SOL004,SOLPENOX 125 MG SYRUP 60 ML,"2,264",360 BTL,360,"4,750","1,710,000",,,
96,2020-01,"MADINA, APTK",SOL007,XICALOM 20 MG KAPLET 100's,250,30 BOX,30,"19,800","594,000",,,
97,2020-01,"MADINA, APTK",TRM004,TRIMAKAL KAPLET 100'S,380,30 BOX,30,"13,000","390,000",,,
98,2020-01,"MADINA, APTK",TRM028,NEMIC 500 MG (Mefenamic Acid) KAPLET 100'S,"1,296",50 BOX,50,"19,500","975,000",,,
99,2020-01,"MADINA, APTK",TRMG001,ANTASIDA DOEN TABLET 100'S (POT),"4,216",100 POT,100,"6,700","670,000",,,
100,2020-01,"MADINA, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,"3,686",50 BOX,50,"7,800","390,000",,,
101,2020-01,"MADINA, APTK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),"3,252",50 POT,50,"6,750","337,500",,,
102,2020-01,"MADINA, APTK",YKT003,TRIADENE 20 MG TABLET 100's,226,30 BOX,30,"18,500","555,000",,,
103,2020-01,"MADINA, APTK",YKT011,YATRIZOL FORTE KAPLET 100'S,478,50 BOX,50,"24,250","1,212,500",,,
104,2020-01,"MADINA, APTK",YKT027,CYROX KAPLET 100'S,324,50 BOX,50,"46,500","2,325,000",,,
105,2020-01,"MADINA, APTK",YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML","2,560",100 BTL,100,"5,600","560,000",,,
106,2020-01,"MADINA, APTK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,160,30 BOX,30,"6,850","205,500",,,
107,2020-01,"MADINA, APTK",ZNT042,ZETAMOL SYRUP 60 ML,572,144 BTL,144,"4,700","676,800",,,
108,2020-02,"BASARIA JAYA MANDIRI, PT",AFI014,"OBH AFI (Am. Chloride, Succus Liq., Alkohol) SYRUP (Rasa Mint) 100 ML",328,125 BTL,125,"4,000","587,500",,,
109,2020-02,"BASARIA JAYA MANDIRI, PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"2,250",25 BOX,25,"7,500","187,500",,,
110,2020-02,"BASARIA JAYA MANDIRI, PT",NPG011,METRONIDAZOLE 500 MG TABLET 100's,746,75 BOX,75,"16,500","1,237,500",,,
111,2020-02,"BASARIA JAYA MANDIRI, PT",NPG032,GUAIFENESIN TABLET  100'S,820,150 BOX,150,"7,700","1,155,000",,,
112,2020-02,"BASARIA JAYA MANDIRI, PT",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,138",100 BOX,100,"8,500","850,000",,,
113,2020-02,"ARMIA FARMA, APOTIK",DEF009,VITAMIN B COMPLEX TABLET 100'S,586,50 POT,50,"4,500","225,000",,,
114,2020-02,"ARMIA FARMA, APOTIK",ERT004,"ETADEX 0,5 MG KAPLET  200'S",784,20 BOX,20,"18,000","360,000",,,
115,2020-02,"ARMIA FARMA, APOTIK",ERT028,ETAFEN SYRUP 60 ML,550,100 BTL,100,"4,400","440,000",,,
116,2020-02,"ARMIA FARMA, APOTIK",IFR013,ELTAZON KAPLET 100'S/BLISTER,166,30 BOX,30,"15,750","472,500",,,
117,2020-02,"ARMIA FARMA, APOTIK",IFR040,ROVERTON KAPLET 100'S,190,20 BOX,20,"15,900","318,000",,,
118,2020-02,"ARMIA FARMA, APOTIK",IFR082,YUSIMOX KAPLET 500 MG 100'S,100,5 BOX,5,"52,000","260,000",,,
119,2020-02,"ARMIA FARMA, APOTIK",NPH009,NOVAMAG TABLET 100's,678,50 BOX,50,"17,500","875,000",,,
120,2020-02,"ARMIA FARMA, APOTIK",NPH068,CEFFORD 125 DS 60 ML,360,180 BTL,180,"6,700","1,206,000",,,
121,2020-02,"ARMIA FARMA, APOTIK",NPH090,NOVAREN 50 (Diklofenac Sodium) TABLET 100'S,695,30 BOX,30,"15,000","450,000",,,
122,2020-02,"ARMIA FARMA, APOTIK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,825,130 BOX,130,"46,000","5,980,000",,,
123,2020-02,"ARMIA FARMA, APOTIK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,680,20 BOX,20,"18,500","370,000",,,
124,2020-02,"ARMIA FARMA, APOTIK",TRMG010,PREDNISON TABLET 5 MG 100'S (POT),"1,105",100 POT,100,"7,600","760,000",,,
125,2020-02,"ARMIA FARMA, APOTIK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),"3,202",150 POT,150,"6,750","1,012,500",,,
126,2020-02,"ARMIA FARMA, APOTIK",YKT009,YEKAPONS 500 MG KAPLET 100'S,516,30 BOX,30,"23,250","697,500",,,
127,2020-02,"ARMIA FARMA, APOTIK",YKT034,LOPURIC (Allupurinol 100 mg) TABLET 100'S,375,30 BOX,30,"21,000","630,000",,,
128,2020-02,"ARMIA FARMA, APOTIK",YKT039,YETRIZIN (Cetirizine HCl 10 mg) TABLET 100'S,130,30 BOX,30,"6,850","205,500",,,
129,2020-02,"BERSATU, APTK",ERG007,PARACETAMOL 500 MG KAPLET 100'S,"2,714",200 BOX,200,"15,500","3,100,000",,,
130,2020-02,"BERSATU, APTK",ERG017,AMLODIPINE 5 MG TABLET 30'S,"1,625",500 BOX,500,"2,400","1,200,000",,,
131,2020-02,"BERSATU, APTK",ERT009,ETADRYL EXPECTORANT SYRUP 60 ML,"1,215",150 BTL,150,"3,400","510,000",,,
132,2020-02,"BERSATU, APTK",ERT010,ETAFEN 400 MG TABLET 100'S,405,50 BOX,50,"25,000","1,250,000",,,
133,2020-02,"BERSATU, APTK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,838,15 BOX,15,"54,750","821,250",,,
134,2020-02,"BERSATU, APTK",MLX008,"MOLEXFLU SYRUP 60 ml ( Paracetamol,Phenylpropanolamine HCI,Chlorphenamine Maleate",257,60 BTL,60,"8,658","519,480",,,
135,2020-02,"BERSATU, APTK",MLX014,"KLORFESON CREAM 10 gram (chloramphenicol,prednisolone)",250,96 TUBE,96 ,"5,100","489,600",,,
136,2020-02,"BERSATU, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,"6,038",200 BOX,200,"8,500","1,700,000",,,
137,2020-02,"BERSATU, APTK",NPG049,SIMVASTATIN 10 MG TABLET 100'S,412,100 BOX,100,"12,500","1,250,000",,,
138,2020-02,"BERSATU, APTK",NPH008,NOVAKAL 500 MG KAPLET 100's,530,20 BOX,20,"12,500","250,000",,,
139,2020-02,"BERSATU, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,"1,200",120 BTL,120,"3,900","468,000",,,
140,2020-02,"BERSATU, APTK",RAM046,AFOLAT 400 MG TABLET 100S,873,20 BOX,20,"13,000","260,000",,,
141,2020-02,"BERSATU, APTK",SOL011,KAMOLAS (Paracetamol 500 mg) Kaplet 100's,278,20 BOX,20,"19,250","385,000",,,
142,2020-02,"BERSATU, APTK",SPD003,"CARBIDU 0,5 MG TABLET 200'S",595,50 BOX,50,"23,500","1,175,000",,,
143,2020-02,"BERSATU, APTK",TRM001,TRIMALGIN 500 MG KAPLET 100'S,660,10 BOX,10,"18,500","185,000",,,
144,2020-02,"BERSATU, APTK",TRM005,"SUPERHOID (Benzocain, Zinc Oxide, Al. Hyroxide) @ 6 SUPP","1,485",20 BOX,20,"26,000","520,000",,,
145,2020-02,"BERSATU, APTK",TRMG009,ANTASIDA DOEN TABLET 100'S,"3,636",200 BOX,200,"7,800","1,560,000",,,
146,2020-02,"BETHESDA BERKAT, APOTEK. PT",ERG003,CAPTOPRIL 25 MG TABLET 100'S,"2,225",200 BOX,200,"7,500","1,500,000",,,
147,2020-02,"BETHESDA BERKAT, APOTEK. PT",NPH027,"NOVADEX 0,5 MG TABLET 200's",648,144 BOX,144,"16,500","2,376,000",,,
148,2020-02,"BINJAI FARMA, APTK",ERT017,ETAGEMYCETIN 250 MG KAPSUL 100'S,823,100 BOX,100,"54,750","5,475,000",,,
149,2020-02,"BINJAI FARMA, APTK",ERT022,ETAMOXUL KAPLET 100'S,891,100 BOX,100,"22,750","2,275,000",,,
150,2020-02,"BINJAI FARMA, APTK",IFR048,TRIANTA SYRUP 60 ML,532,384 BTL,384,"5,450","2,092,800",,,
151,2020-02,"BINJAI FARMA, APTK",NPG033,PAPAVERIN TABLET 100's,138,50 BOX,50,"33,000","1,650,000",,,
152,2020-02,"BINJAI FARMA, APTK",NPG040,AMBROXOL 30 MG TABLET 100'S,"5,838",272 BOX,272,"8,500","2,312,000",,,
153,2020-02,"BINJAI FARMA, APTK",NPG052,PIROXICAM 10 MG TABLET 100'S,"1,168",272 BOX,272,"7,800","2,121,000",,,
154,2020-02,"BINJAI FARMA, APTK",NPH003,NOVABIOTIC 500 MG KAPLET 100's,280,50 BOX,50,"58,000","2,900,000",,,
155,2020-02,"BINJAI FARMA, APTK",NPH005,NOVADIAR SYRUP 60 ML,"2,437",300 BTL,300,"4,100","1,230,000",,,
156,2020-02,"BINJAI FARMA, APTK",NPH006,NOVAGESIC SYRUP 60 ML,"4,488",600 BTL,600,"3,900","2,340,000",,,
157,2020-02,"BINJAI FARMA, APTK",NPH015,NOVAFLOX 500 MG KAPLET 100's,"2,354",100 BOX,100,"46,000","4,600,000",,,
158,2020-02,"BINJAI FARMA, APTK",NPH034,NUVOPEC 15 MG SYRUP 60 ML,"2,765",660 BTL,660,"3,800","2,508,000",,,
159,2020-02,"BINJAI FARMA, APTK",NPH035,ROSIDON 5 MG SUSPENSI 60 ML,"1,080",600 BTL,600,"3,900","2,340,000",,,
160,2020-02,"BINJAI FARMA, APTK",RAM001,CALORTUSIN KAPLET 100's,865,100 BOX,100,"41,000","4,100,000",,,
161,2020-02,"BINJAI FARMA, APTK",RAM052,BROXOLIC 15 MG SYRUP 60 ML,750,150 BTL,150,"3,600","540,000",,,
162,2020-02,"BINJAI FARMA, APTK",SMC018,SAMTACID TABLET 100'S,"2,710",100 BOX,100,"20,650","2,065,000",,,
163,2020-02,"BINJAI FARMA, APTK",SMC025,SAMMOXIN FORTE KAPLET (Amoxicillin 500 mg) 100'S,695,100 BOX,100,"46,000","4,600,000",,,
164,2020-02,"BINJAI FARMA, APTK",SOL002,ORPHEN 4 MG KAPLET 200'S,565,120 BOX,120,"14,000","1,680,000",,,
165,2020-02,"BINJAI FARMA, APTK",SPD014,CARSIDA TABLET 100'S,128,37 BOX,37,"24,000","888,000",,,
166,2020-02,"BINJAI FARMA, APTK",TRM003,"TRIDEXON 0,5 MG KAPLET 100'S (POT)","6,115","1,500 POT","1,500","3,700","5,550,000",,,
167,2020-02,"BINJAI FARMA, APTK",TRM004,TRIMAKAL KAPLET 100'S,350,50 BOX,50,"13,000","650,000",,,
168,2020-02,"BINJAI FARMA, APTK",TRM005,"SUPERHOID (Benzocain, Zinc Oxide, Al. Hyroxide) @ 6 SUPP","1,465",50 BOX,50,"26,000","1,300,000",,,
169,2020-02,"BINJAI FARMA, APTK",TRMG011,CHLORPHENAMINE MALEAT TABLET 4 MG 100'S (POT),"3,052","1,000 POT","1,000","6,750","6,750,000",,,
170,2020-02,"BINJAI FARMA, APTK",YKT006,PACETIK SYRUP 60 ML,500,300 BTL,300,"4,000","1,200,000",,,
171,2020-02,"BINJAI FARMA, APTK",YKT030,PACETIK BP SYRUP 55 ML,150,150 BTL,150,"4,400","660,000",,,
172,2020-02,"BINJAI FARMA, APTK",YKT036,"YEKAGRIP (Paracetamol, GG, CTM, Phenylpropanolamin HCl) SYRUP 60 ML","2,460",150 BTL,150,"5,600","840,000",,,
173,2020-02,"BINJAI FARMA, APTK",ZNT039,COLDREXIN SYRUP 60 ML,"1,520",480 BTL,480,"6,200","2,976,000",,,
174,2020-02,"BINJAI FARMA, APTK",ZNT042,ZETAMOL SYRUP 60 ML,428,240 BTL,240,"4,700","1,128,000",,,
175,2020-02,"BINTANG TERANG, APTK",ERT004,"ETADEX 0,5 MG KAPLET  200'S",764,30 BOX,30,"18,000","540,000",,,
176,2020-02,"BINTANG TERANG, APTK",ERT022,ETAMOXUL KAPLET 100'S,791,30 BOX,30,"22,750","692,500",,,
177,2020-02,"BINTANG TERANG, APTK",IFR040,ROVERTON KAPLET 100'S,170,20 BOX,20,"15,900","318,000",,,
178,2020-02,"BINTANG TERANG, APTK",NPH027,"NOVADEX 0,5 MG TABLET 200's",504,40 BOX,40,"16,500","660,000",,,
179,2020-02,"BINTANG TERANG, APTK",TRM038,"TRIDEXON 0,75 MG KAPLET 100'S",185,30 BOX,30,"8,000","240,000",,,
180,2020-02,"BINTANG TERANG, APTK",YKT010,"FLACOID 0,5 MG KAPLET 100'S",140,30 BOX,30,"7,750","232,500",,,
181,2020-02,"BINTANG TIMUR, APTK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"14,790",500 BOX,500,"7,600","3,800,000",,,
182,2020-02,"BINTANG TIMUR, APTK",NPH009,NOVAMAG TABLET 100's,628,132 BOX,132,"17,500","2,310,000",,,
183,2020-02,"BINTANG TIMUR, APTK",NPH089,FERBION(Vitamin dan Mineral)Kapsul 100'S,"2,405",50 BOX,50,"18,000","900,000",,,
184,2020-02,"BAGAN JAYA FARMA, APT",NPG040,AMBROXOL 30 MG TABLET 100'S,"5,566","1,360 BOX","1,360","8,500","11,560,000",,,
185,2020-02,"BAGAN JAYA FARMA, APT",NPG052,PIROXICAM 10 MG TABLET 100'S,896,408 BOX,408,"7,800","3,182,000",,,
186,2020-02,"BAGAN JAYA FARMA, APT",RAG015,CLINDAMYCIN HCl 300 MG KAPSUL 100'S,185,35 BOX,35,"90,000","3,150,000",,,
187,2020-02,"AK JAYA, APOTEK",ERG015,OMEPRAZOLE KAPSUL 20 MG 30'S,"14,290","1,000 BOX","1,000","7,600","7,600,000",,,
